"Organization Name","Address","City","State","Postcode","Main Phone #","Discipline","Council District","Community Board","Borough","Latitude","Longitude","Census Tract","BIN","BBL","NTA"
"Animation Project, Inc.","291 Broadway","Manhattan","NY","10007","(914) 443-5828","Other","Manhattan Council District #3","Manhattan Community Board #1","Manhattan","40.714824","-74.005779","33","1001649","1001500038","MN0102"
"AnkhLave Arts Alliance, Inc.","2011 Lexington Ave, #4","New York","NY","10035","(212) 945-8847",,,"Manhattan Community Board #11","Manhattan","40.8027","-73.938632","196","1054425","1017710122","MN1102"
"Annabella Gonzalez Dance Theater, Inc.","4 East 89th Street, #P-C","New York","NY","10128","(212) 722-4128","Dance","Manhattan Council District #4","Manhattan Community Board #8","Manhattan","40.783345","-73.958752","15002","1046964","1015000065","MN0802"
"Anne Frank Center USA, Inc.","244 Fifth Ave","New York","NY","10001","(212) 431-7993","Humanities","Manhattan Council District #1","Manhattan Community Board #5","Manhattan","40.744521","-73.987427","58","1015690","1008290040","MN0501"
"ANONYMOUS ENSEMBLE INC","249 Smith St.","Brooklyn","NY","11231","(917) 701-8388","Multi-Discipline, Performing","Brooklyn Council District #35","Brooklyn Community Board #6","Brooklyn","40.683311","-73.992767","75","3006697","3004150008","BK0601"
"Ansonia Music Outreach Organization, Inc.","330 Wadsworth Avenue 2G","New York","NY","10040","(212) 567-3554","Music","Manhattan Council District #7","Manhattan Community Board #12","Manhattan","40.855188","-73.931061","279","1064084","1021700287","MN1202"
"Anthology Film Archives, Inc.","32 Second Avenue","New York","NY","10003","(212) 505-5181","Film/Video/Audio","Manhattan Council District #2","Manhattan Community Board #3","Manhattan","40.724716","-73.990486","3602","1006081","1004430008","MN0303"
"Anthropologists, Inc.","100 Cabrini Blvd.","New York","NY","10033","(917) 557-3517","Theater","Manhattan Council District #7","Manhattan Community Board #12","Manhattan","40.851661","-73.940087","275","1064334","1021790070","MN1202"
"Anthropology Museum of the People of New York","64-19 Kissena Boulevard","Flushing","NY","11367","(718) 428-5650","Museum","Queens Council District #24","Queens Community Board #8","Queens","40.737459","-73.814744","122702","4146646","4067430029","QN0802"
"Anti-Social Music, Inc.","500C Grand St","New York","NY","10002","(646) 489-8791","Music","Brooklyn Council District #33","Manhattan Community Board #3","Manhattan","40.715701","-73.982674","12","1004065","1003310065","MN0302"
"Anyone Corporation","41 WEST 25TH ST FL 11","NEW YORK CITY","NY","10010","(212) 645-1400","Architecture/Design","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.743523","-73.990285","58","1015612","1008270012","MN0501"
"Aperture Foundation, Inc.","548 W 28th St","New York","NY","10001","(212) 946-7135","Photography","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.751494","-74.003483","9902","1012403","1006990005","MN0401"
"ApexArt Curatorial Program","291 Church St","New York","NY","10013","(212) 431-5270","Visual Arts","Manhattan Council District #1","Manhattan Community Board #10","Manhattan","40.719084","-74.004654","33","1002206","1001930019","MN0102"
"Apex for Youth Inc.","195 Chrystie Street, #200","New York","NY","10002","(212) 385-3574",,,"Manhattan Community Board #3","Manhattan","40.721922","-73.991904","3601","1005719","1004260029","MN0302"
"Apollo Theater Foundation, Inc.","253 West 125th Street","New York","NY","10027","(212) 531-5349","Multi-Discipline, Performing","Manhattan Council District #9","Manhattan Community Board #10","Manhattan","40.809778","-73.95021","222","1058654","1019310010","MN1001"
"Appleby Foundation, Inc.","579 Broadway, 4B, Apt. 4B","New York","NY","10012","(212) 431-8489","Dance","Manhattan Council District #2","Manhattan Community Board #1","Manhattan","40.724612","-73.997478","49","1007953","1005120020","MN0201"
"A Public Space Literary Projects, Inc.","601 East 20th Street","New York","NY","10010","(718) 858-8067","Literature","Brooklyn Council District #33","Manhattan Community Board #6","Manhattan","40.732967","-73.975298","60","1083700","1009780001","MN0601"
"Aquila Theatre Company, Inc.","Room 503n Silver","New York","NY","10003","(212) 992-9642","Theater","Manhattan Council District #1","Manhattan Community Board #2","Manhattan",,,,,,
"Arab American Association of NY, Inc.","7111 5th Avenue","Brooklyn","NY","11209","(718) 745-3523","Multi-Discipline, Performing","Brooklyn Council District #43","Brooklyn Community Board #10","Brooklyn","40.63238","-74.021444","130","3146649","3058930010","BK1001"
"Arab-American Family Support Center Inc.","150 Court Street","Brooklyn","NY","11201","(718) 643-8000","Folk Arts","Brooklyn Council District #39","Brooklyn Community Board #6","Brooklyn","40.688806","-73.992806","45","3003069","3002920026","BK0601"
"ARC Athens Inc","220 East 134th Street","Bronx","NY","10451","(415) 298-6751","Visual Arts","Bronx Council District #8","Bronx Community Board #1","Bronx","40.809255","-73.93065","51","2000783","2023190098","BX0101"
"Archipelago Books, Inc.","232 Third Street, Suite A111","Brooklyn","NY","11215","(718) 852-6134","Multi-Discipl, Perf & Non-Perf","Brooklyn Council District #38","Brooklyn Community Board #6","Brooklyn","40.674909","-73.987671","11901","3337594","3009800008","BK0601"
"Architectural League of New York","594 Broadway, Suite 607","New York","NY","10012","(212) 753-1722","Architecture/Design","Manhattan Council District #3","Manhattan Community Board #2","Manhattan","40.72496","-73.997157","43","1007944","1005110012","MN0201"
"Archive for Research in Archetypal Symbolism","28 E 39th St","New York","NY","10016","(212) 697-3480","Other","Manhattan Council District #4","Manhattan Community Board #6","Manhattan","40.750619","-73.980023","82","1017240","1008680050","MN0502"
"ARC on 4th Street, Inc.","59 East 4th Street","New York","NY","10003","(212) 477-5340","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #2",,"Manhattan","40.726785","-73.990807","38","1082642","1004600056","MN0303"
"Arcos Orchestra, Ltd.","17 E 96th St 14B","New York","NY","10128","(772) 766-2851","Music","Manhattan Council District #4","Manhattan Community Board #8","Manhattan","40.78765","-73.955138","16002","1051441","1016020013","MN1101"
"Arctic Cycle","64 Bleecker Street","New York","NY","10012",,,,"Manhattan Community Board #2","Manhattan","40.726267","-73.995339","5502","1008214","1005227502","MN0202"
"Ardea Arts","463 Broome Street","New York","NY","10013","(212) 431-7039","Multi-Discipline, Performing","Manhattan Council District #1","Manhattan Community Board #2","Manhattan","40.722419","-74.001147","47","1007034","1004740009","MN0201"
"Arete Education, Inc.","557 Grand Concourse, Suite 140, #3","New York","NY","10451","(646) 504-2015","Multi-Discipl, Perf & Non-Perf","Bronx Council District #8","Bronx Community Board #1","Bronx","40.819057","-73.927092","6301","2001057","2023470024","BX0401"
"Arete Living Arts Foundation","64 Dupont St 2L","Brooklyn","NY","11222","(718) 349-1681","Multi-Discipl, Perf & Non-Perf","Brooklyn Council District #33","Brooklyn Community Board #1","Brooklyn","40.735643","-73.95749","56301","3063810","3024950015","BK0101"
"Argento New Music Project","Box 824","New York","NY","10024","(212) 665-4444","Music","Manhattan Council District #9","Manhattan Community Board #9","Manhattan",,,,,,
"Armitage Foundation, Ltd.","9 N. Moore St.","New York","NY","10013","(212) 431-4314","Dance","Manhattan Council District #1","Manhattan Community Board #1","Manhattan","40.719748","-74.006414","33","1002175","1001907502","MN0102"
"Around the Block, Inc.","5 East 22nd Street, Suite 9K","New York","NY","10010","(917) 455-1278","Theater","Manhattan Council District #2","Manhattan Community Board #5","Manhattan","40.740426","-73.988976","56","1016304","1008517501","MN0501"
"Ars Nova Theater I, Inc.","511 West 54th Street","New York","NY","10019","(212) 489-9800","Multi-Discipline, Performing","Manhattan Council District #6","Manhattan Community Board #4","Manhattan","40.76741","-73.990469","13502","1027060","1010830026","MN0402"
"Art's House Schools, Inc.","1507 Surf Avenue","Brooklyn","NY","11224","(718) 996-2000","Dance","Brooklyn Council District #48","Brooklyn Community Board #13","Brooklyn","40.5755","-73.98266","348","3255289","3070630012","BK1302"
"Art21, Inc.","231 W. 29th St","New York","NY","10001","(212) 741-7133","Visual Arts","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.748299","-73.993937","95","1014283","1007790017","MN0501"
"Art4aids","1800 Albemarle rd","brooklyn","NY","11226","(323) 481-2518","Visual Arts","Brooklyn Council District #33","Brooklyn Community Board #8","Brooklyn","40.647016","-73.962469","512","3117590","3051220001","BK1401"
"Art and Resistance Through Education, Inc.","3176 Decatur Avenue, #3A","Bronx","NY","10467","(347) 493-5081","Visual Arts","Brooklyn Council District #34","Brooklyn Community Board #1","Brooklyn",,,,,,
"Art Beyond Sight, Inc.","589 Broadway, 3rd Floor","New York","NY","10012","(212) 334-8720","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #1","Manhattan Community Board #2","Manhattan","40.724818","-73.997305","49","1007952","1005120017","MN0201"
"ArtBridge Projects, Inc.","526 West 26th Street","New York","NY","10001","(917) 720-5742","Visual Arts","Manhattan Council District #3","Manhattan Community Board #2","Manhattan","40.750094","-74.003999","9901","1012386","1006970047","MN0401"
"ArtCouncil, Inc.","c/o Soho Works","Brooklyn","NY","11201","(212) 727-2233","Visual Arts","Manhattan Council District #3","Brooklyn Community Board #2","Brooklyn",,,,,,
"ArtCrawl Harlem, Inc.","153 West 120th Street","New York","NY","10027","(212) 866-7427","Visual Arts","Manhattan Council District #9","Manhattan Community Board #10","Manhattan","40.805211","-73.949271","220","1057612","1019050007","MN1001"
"Art Creates Us, Inc.","483 Humboldt","Brooklyn","NY","11222","(212) 256-1947","Visual Arts","Brooklyn Council District #33","Brooklyn Community Board #1","Brooklyn",,,,,,
"Art Deco Society of New York, Inc.","400 East 56th Street, Suite 39N","New York","NY","10022","(212) 679-3326","Architecture/Design","Manhattan Council District #5","Manhattan Community Board #6","Manhattan","40.757576","-73.963283","10601","1040460","1013670001","MN0604"
"Art Directors Club, Inc.","106 West 29th Street","New York","NY","10001","(212) 643-1440","Architecture/Design","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.746882","-73.99062","95","1015125","1008040044","MN0501"
"ArteEast, Inc.","320 7th Ave","Brooklyn","NY","11215","(718) 282-5938","Multi-Discipline, Non-Perform","Manhattan Council District #3","Brooklyn Community Board #6","Brooklyn","40.667253","-73.981292","153","3022171","3010060040","BK0602"
"Art for Change, Inc.","1699 Lexington Avenue","New York","NY","10029","(212) 348-7044","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #8","Manhattan Community Board #11","Manhattan","40.792606","-73.946001","172","1052053","1016340052","MN1101"
"Art For Progress","133 Mulberry Street, #4W1","New York","NY","10013","(212) 475-4185","Multi-Discipline, Non-Perform","Manhattan Council District #2","Manhattan Community Board #2","Manhattan","40.718455","-73.99776","41","1003081","1002367503","MN0201"
"artHARLEM, Inc.","104 West 119th Street, Suite 3","New York","NY","10026","(917) 602-1927","Visual Arts","Manhattan Council District #9","Manhattan Community Board #10","Manhattan","40.804181","-73.948827","220","1057496","1019030039","MN1001"
"Art House Astoria Conservatory for Music and Art","23-35 Broadway","Astoria","NY","11106","(347) 738-4148","Multi-Discipl, Perf & Non-Perf","Queens Council District #22","Queens Community Board #1","Queens","40.764312","-73.930025","75","4006568","4005670007","QN0103"
"Arthur Aviles Typical Theatre, Inc.","2474 Westchester Avenue","New York","NY","10461","(718) 842-5223","Multi-Discipline, Performing","Bronx Council District #17","Bronx Community Board #10","Bronx","40.838109","-73.845078","96","2097349","2038480018","BX1001"
"Arthur Miller Foundation","56 W 12th St","New York","NY","10011","(212) 321-0307","Theater","Manhattan Council District #3","Manhattan Community Board #2","Manhattan","40.735344","-73.996197","63","1009605","1005750127","MN0202"
"Artichoke Dance Company, Inc.","675 Vanderbilt Avenue","Brooklyn","NY","11238","(917) 627-8770","Multi-Discipline, Performing","Brooklyn Council District #33","Brooklyn Community Board #8","Brooklyn","40.676602","-73.969233","207","3029080","3011650011","BK0801"
"Art in the Park inc","8 West 126th street","New York","NY","10037","(917) 456-4062",,,"Manhattan Community Board #11","Manhattan","40.80734","-73.942384","200","1089797","1017230031","MN1001"
"Artist's Theatre Repertory Ensemble, Inc.","6776 Booth St","Forest Hills","NY","11375","(718) 683-2225","Theater","Queens Council District #29","Queens Community Board #6","Queens","40.724783","-73.851965","71305","4075055","4031670028","QN0602"
"Artist Exchange International on Broadway","107 Suffolk Street, #35","New York","NY","10002","(212) 226-5169","Visual Arts","Manhattan Council District #1","Manhattan Community Board #1","Manhattan","40.718943","-73.986122","1402","1004301","1003530054","MN0302"
"Artistic Dreams International, Inc.","48 Wall Street","NEW YORK","NY","10005","(917) 294-1431","Visual Arts","Manhattan Council District #7","Manhattan Community Board #1","Manhattan","40.706331","-74.009396","7","1001005","1000400014","MN0101"
"Artistic Noise, Inc.","2185 Adam Clayton Powell Jr Blvd","New York","NY","10027","(718) 496-8873","Visual Arts","Brooklyn Council District #35","Manhattan Community Board #10","Manhattan","40.81164","-73.946369","224","1087836","1019147503","MN1002"
"Artists Alliance, Inc.","107 Suffolk Street","New York","NY","10002","(212) 420-9202","Visual Arts","Manhattan Council District #1","Manhattan Community Board #3","Manhattan","40.718943","-73.986122","1402","1004301","1003530054","MN0302"
"Artists Forum, Inc.","1998 2nd Avenue","New York","NY","10029","(646) 355-4391","Film/Video/Audio","Manhattan Council District #9","Manhattan Community Board #11","Manhattan","40.788616","-73.943899","164","1052673","1016740049","MN1101"
